,CallPrice,PutPrice,StrikePrice,A50Price,LocalTime,Type,TransactionArbitrage,Profit
0,0.1547,0.0028,1.8,1.959,2016-Feb-16 09:30:08.574847,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,1.0878759228605261
1,0.1547,0.0028,1.8,1.959,2016-Feb-16 09:30:12.638292,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,1.0878759228605261
2,0.1547,0.0028,1.8,1.959,2016-Feb-16 09:30:15.190523,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,1.0878759228605261
3,0.1547,0.0028,1.8,1.959,2016-Feb-16 09:30:15.690387,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,1.0878759228605261
4,0.1547,0.0028,1.8,1.959,2016-Feb-16 09:30:15.690410,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,1.0878759228605261
5,0.1547,0.0028,1.8,1.959,2016-Feb-16 09:30:16.195685,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,1.0878759228605261
6,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:17.202036,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
7,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:17.202064,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
8,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:17.740855,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
9,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:17.740907,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
10,0.1547,0.0028,1.8,1.959,2016-Feb-16 09:30:17.740965,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,1.0878759228605261
11,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:19.675857,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
12,0.041,0.0401,1.95,1.959,2016-Feb-16 09:30:21.181573,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",1,9.102368116060102
13,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:21.660755,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
14,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:22.588168,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
15,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:23.104137,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
16,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:23.604389,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
17,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:24.642962,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
18,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:26.138042,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
19,0.042,0.0401,1.95,1.959,2016-Feb-16 09:30:26.138067,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,2.402368116058984
20,0.042,0.039,1.95,1.959,2016-Feb-16 09:30:34.699123,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,5.297631883939805
21,0.042,0.039,1.95,1.959,2016-Feb-16 09:30:34.699247,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,5.297631883939805
22,0.1557,0.0036,1.8,1.959,2016-Feb-16 09:30:41.169223,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.912124077141474
23,0.1557,0.0036,1.8,1.959,2016-Feb-16 09:30:41.679295,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.912124077141474
24,0.1557,0.0036,1.8,1.959,2016-Feb-16 09:30:46.265011,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.912124077141474
25,0.1547,0.0036,1.8,1.958,2016-Feb-16 09:30:54.725671,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.8683843985313189
26,0.1547,0.0036,1.8,1.958,2016-Feb-16 09:30:55.203189,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.8683843985313189
27,0.071,0.0192,1.9,1.958,2016-Feb-16 09:30:56.220398,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,3.692056269730096
28,0.1547,0.0036,1.8,1.958,2016-Feb-16 09:30:57.225568,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,0.8683843985313189
29,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:30:57.225583,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
30,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:30:57.732777,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
31,0.0422,0.0407,1.95,1.958,2016-Feb-16 09:30:58.231042,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.25389220533242085
32,0.0422,0.04,1.95,1.958,2016-Feb-16 09:30:58.231110,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.25389220533165
33,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:30:58.231202,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
34,0.0422,0.0407,1.95,1.958,2016-Feb-16 09:30:58.737557,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.25389220533242085
35,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:30:58.737623,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
36,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:30:58.737652,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
37,0.0434,0.0406,1.95,1.959,2016-Feb-16 09:31:03.227368,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,3.297631883940025
38,0.0434,0.0406,1.95,1.959,2016-Feb-16 09:31:03.227393,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,3.297631883940025
39,0.0718,0.0207,1.9,1.958,2016-Feb-16 09:31:03.227648,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,0.007943730271353644
40,0.0718,0.0207,1.9,1.958,2016-Feb-16 09:31:03.727330,"Put-Call Parity Short sell put, Short-sell underlying, Buy Call, Buy Risk Free Bond",0,0.007943730271353644
41,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:04.767138,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
42,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:04.767171,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
43,0.0411,0.0406,1.95,1.957,2016-Feb-16 09:31:04.767236,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.21015252672004525
44,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:04.767471,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
45,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:05.263763,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
46,0.0411,0.0406,1.95,1.957,2016-Feb-16 09:31:05.263793,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.21015252672004525
47,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:05.264023,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
48,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:05.775505,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
49,0.0429,0.0406,1.95,1.957,2016-Feb-16 09:31:05.775596,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,18.210152526720282
50,0.0429,0.0397,1.95,1.957,2016-Feb-16 09:31:05.775629,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,27.21015252672151
51,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:05.775898,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
52,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:06.277278,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
53,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:06.277352,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
54,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:06.277387,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
55,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:06.277599,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
56,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:06.277629,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
57,0.0243,0.072,2.0,1.957,2016-Feb-16 09:31:06.788770,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,17.771988462320056
58,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:06.788786,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
59,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:06.788816,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
60,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:06.788979,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
61,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:06.789157,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
62,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:07.268641,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
63,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:07.268659,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
64,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:07.268706,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
65,0.1547,0.0035,1.8,1.957,2016-Feb-16 09:31:07.268892,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,8.524644719919952
66,0.1547,0.0036,1.8,1.957,2016-Feb-16 09:31:07.268914,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.524644719920063
67,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:07.806206,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
68,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:07.806229,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
69,0.1547,0.0036,1.8,1.957,2016-Feb-16 09:31:07.806282,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.524644719920063
70,0.0227,0.072,2.0,1.957,2016-Feb-16 09:31:08.210341,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.7719884623218194
71,0.0411,0.0397,1.95,1.957,2016-Feb-16 09:31:08.210363,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,9.210152526721274
72,0.0411,0.0406,1.95,1.957,2016-Feb-16 09:31:08.210460,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.21015252672004525
73,0.1547,0.0036,1.8,1.957,2016-Feb-16 09:31:08.210967,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.524644719920063
74,0.0411,0.0406,1.95,1.957,2016-Feb-16 09:31:08.709271,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.21015252672004525
75,0.0411,0.0387,1.95,1.957,2016-Feb-16 09:31:08.709318,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,19.210152526720172
76,0.1547,0.0036,1.8,1.957,2016-Feb-16 09:31:08.709488,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,7.524644719920063
77,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:14.823293,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
78,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:14.823470,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
79,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:15.322608,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
80,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:15.936352,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
81,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:15.936376,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
82,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:15.936534,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
83,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:16.420779,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
84,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:16.420839,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
85,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:16.421110,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
86,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:17.435308,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
87,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:17.435410,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
88,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:17.879939,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
89,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:17.879972,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
90,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:17.880512,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
91,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:19.803121,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
92,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:21.792518,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
93,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:22.299188,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
94,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:22.299702,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
95,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:22.846479,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
96,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:22.846662,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
97,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:23.326774,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
98,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:23.326824,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
99,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:27.280431,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
100,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:29.854829,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
101,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:29.854877,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
102,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:29.855136,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
103,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:30.348002,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
104,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:30.348371,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
105,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:30.847318,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
106,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:30.847359,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
107,0.0239,0.071,2.0,1.958,2016-Feb-16 09:31:31.359553,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,13.815728140932872
108,0.0239,0.071,2.0,1.958,2016-Feb-16 09:31:31.359600,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,13.815728140932872
109,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:31.868921,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
110,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:31.868939,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
111,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:32.349281,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
112,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:32.895106,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
113,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:32.895158,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
114,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:33.297414,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
115,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:33.807360,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
116,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:33.807449,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
117,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:34.851582,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
118,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:34.851631,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
119,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:35.327082,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
120,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:36.326757,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
121,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:38.362492,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
122,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:38.362522,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
123,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:38.363306,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
124,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:38.363350,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
125,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:39.932425,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
126,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:39.932653,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
127,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:40.836692,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
128,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:41.303230,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
